Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays,super,,,,,
Israel TA-125,ILS,Israel,26/12/1993 00:00,250.72,0,0.008527755,0.009543147,0.01450171,-0.008698848,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,27/12/1993 00:00,252.49,0.007059668,0,0.008527755,0.009543147,0.01450171,-0.008698848,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,28/12/1993 00:00,246.23,-0.024793061,0.007059668,0,0.008527755,0.009543147,0.01450171,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,29/12/1993 00:00,248.54,0.009381473,-0.024793061,0.007059668,0,0.008527755,0.009543147,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,30/12/1993 00:00,247.67,-0.003500443,0.009381473,-0.024793061,0.007059668,0,0.008527755,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,02/01/1994 00:00,247.67,0,-0.003500443,0.009381473,-0.024793061,0.007059668,0,Sunday,1,0,0,-1,,,,,
Israel TA-125,ILS,Israel,03/01/1994 00:00,253.55,0.023741269,0,-0.003500443,0.009381473,-0.024793061,0.007059668,Monday,1,0,1,1,,,,,
Israel TA-125,ILS,Israel,04/01/1994 00:00,253.21,-0.001340958,0.023741269,0,-0.003500443,0.009381473,-0.024793061,Tuesday,1,0,2,2,,,,,
Israel TA-125,ILS,Israel,05/01/1994 00:00,255.73,0.009952214,-0.001340958,0.023741269,0,-0.003500443,0.009381473,Wednesday,1,0,3,3,,,,,
Israel TA-125,ILS,Israel,06/01/1994 00:00,252.93,-0.010949048,0.009952214,-0.001340958,0.023741269,0,-0.003500443,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,09/01/1994 00:00,252.93,0,-0.010949048,0.009952214,-0.001340958,0.023741269,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,10/01/1994 00:00,251.26,-0.006602617,0,-0.010949048,0.009952214,-0.001340958,0.023741269,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,11/01/1994 00:00,254.24,0.011860224,-0.006602617,0,-0.010949048,0.009952214,-0.001340958,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,12/01/1994 00:00,254.74,0.001966646,0.011860224,-0.006602617,0,-0.010949048,0.009952214,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,13/01/1994 00:00,254.84,0.000392557,0.001966646,0.011860224,-0.006602617,0,-0.010949048,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,16/01/1994 00:00,254.84,0,0.000392557,0.001966646,0.011860224,-0.006602617,0,Sunday,0,0,0,0,,,,,
