"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2012","7,616.6","7,609.9","7,632.9","7,578.7","","0.67%"
"06/21/2012","7,566.1","7,754.3","7,765.7","7,560.5","","-2.47%"
"06/20/2012","7,757.9","7,770.3","7,800.6","7,706.1","","-0.11%"
"06/19/2012","7,766.3","7,704.1","7,797.5","7,703.6","","1.36%"
"06/18/2012","7,662.3","7,630.8","7,680.5","7,606.8","","-0.03%"
"06/15/2012","7,664.3","7,613.0","7,666.0","7,604.2","","1.07%"
"06/14/2012","7,582.8","7,515.9","7,608.3","7,499.8","","1.02%"
"06/13/2012","7,506.4","7,533.6","7,577.7","7,483.4","","-0.68%"
"06/12/2012","7,557.8","7,459.3","7,558.7","7,456.9","","1.32%"
"06/11/2012","7,459.3","7,609.3","7,623.9","7,454.2","","-1.25%"
"06/08/2012","7,553.8","7,480.0","7,554.6","7,451.4","","0.45%"
"06/07/2012","7,519.8","7,584.1","7,614.9","7,509.2","","0.03%"
"06/06/2012","7,517.5","7,389.9","7,517.5","7,389.9","","2.44%"
"06/05/2012","7,338.6","7,270.4","7,347.7","7,264.8","","0.73%"
"06/04/2012","7,285.5","7,302.8","7,320.6","7,222.9","","-0.09%"
"06/01/2012","7,292.2","7,368.4","7,368.4","7,286.8","","-2.30%"
"05/31/2012","7,464.0","7,477.7","7,512.5","7,387.4","","-0.10%"
"05/30/2012","7,471.4","7,543.4","7,543.4","7,463.7","","-1.89%"
"05/29/2012","7,615.0","7,583.4","7,634.6","7,565.9","","1.07%"
"05/25/2012","7,534.3","7,543.3","7,567.4","7,514.4","","-0.24%"
"05/24/2012","7,552.4","7,558.8","7,573.4","7,487.7","","0.15%"
"05/23/2012","7,540.9","7,492.9","7,547.1","7,404.9","","-0.02%"
"05/22/2012","7,542.6","7,555.3","7,616.5","7,507.0","","-0.01%"
"05/21/2012","7,543.0","7,443.9","7,543.6","7,438.7","","1.55%"
"05/18/2012","7,427.7","7,503.8","7,521.1","7,409.0","","-0.70%"
"05/17/2012","7,480.4","7,588.2","7,595.7","7,480.4","","-1.48%"
"05/16/2012","7,592.8","7,656.8","7,701.7","7,592.8","","-0.56%"
"05/15/2012","7,635.8","7,696.0","7,714.8","7,621.6","","-0.90%"
"05/14/2012","7,705.4","7,739.4","7,754.3","7,699.6","","-1.41%"
"05/11/2012","7,815.9","7,799.6","7,886.6","7,787.6","","-0.47%"
"05/10/2012","7,852.8","7,871.8","7,902.2","7,838.2","","0.42%"
"05/09/2012","7,820.3","7,802.5","7,871.6","7,749.4","","-0.85%"
"05/08/2012","7,887.3","7,901.1","7,901.1","7,800.9","","-0.77%"
"05/07/2012","7,948.8","7,907.6","7,964.2","7,905.2","","0.20%"
"05/04/2012","7,933.3","8,030.0","8,030.0","7,921.0","","-1.45%"
"05/03/2012","8,049.9","8,123.0","8,126.3","8,035.1","","-0.92%"
"05/02/2012","8,124.3","8,164.0","8,164.0","8,074.6","","-0.49%"
"05/01/2012","8,164.0","8,115.1","8,211.6","8,104.8","","0.55%"
"04/30/2012","8,119.1","8,132.9","8,134.0","8,093.9","","-0.40%"
"04/27/2012","8,151.9","8,143.5","8,164.1","8,107.7","","0.35%"
