Date,Price,Open,High,Low,Change
24/09/2012,"8,356.60","8,341.90","8,378.90","8,331.50",-0.25%
21/09/2012,"8,377.50","8,411.60","8,421.20","8,375.70",0.05%
20/09/2012,"8,372.90","8,345.30","8,379.30","8,313.10",-0.33%
19/09/2012,"8,400.50","8,397.80","8,424.10","8,379.20",0.16%
18/09/2012,"8,387.40","8,388.50","8,404.80","8,369.30",-0.26%
17/09/2012,"8,409.00","8,442.50","8,455.60","8,393.20",-0.59%
14/09/2012,"8,458.90","8,442.10","8,515.60","8,437.90",0.62%
13/09/2012,"8,407.00","8,262.90","8,427.50","8,248.50",1.69%
12/09/2012,"8,267.30","8,272.10","8,286.30","8,247.20",0.26%
11/09/2012,"8,246.10","8,209.30","8,264.30","8,209.30",0.66%
10/09/2012,"8,192.40","8,221.70","8,242.70","8,191.90",-0.51%
07/09/2012,"8,234.50","8,191.80","8,234.50","8,191.80",0.91%
06/09/2012,"8,160.60","8,038.00","8,160.60","8,038.00",2.11%
05/09/2012,"7,992.00","8,001.10","8,016.50","7,975.60",-0.13%
04/09/2012,"8,002.30","8,012.90","8,024.10","7,960.90",-0.16%
31/08/2012,"8,014.90","8,013.00","8,048.00","7,970.80",0.61%
30/08/2012,"7,966.20","8,003.50","8,003.50","7,949.70",-0.81%
29/08/2012,"8,031.60","8,035.00","8,048.20","8,012.10",-0.03%
28/08/2012,"8,033.90","8,026.20","8,058.80","8,014.60",-0.03%
27/08/2012,"8,036.20","8,056.40","8,070.90","8,031.30",-0.15%
24/08/2012,"8,047.90","7,993.40","8,061.90","7,979.30",0.46%
23/08/2012,"8,011.40","8,063.80","8,063.80","8,001.60",-0.78%
22/08/2012,"8,074.20","8,061.20","8,086.60","8,030.40",-0.11%
21/08/2012,"8,082.70","8,117.00","8,160.40","8,070.30",-0.14%
20/08/2012,"8,094.30","8,088.60","8,096.70","8,058.90",-0.10%
17/08/2012,"8,102.10","8,099.00","8,104.50","8,079.40",0.15%
16/08/2012,"8,090.00","8,031.40","8,099.10","8,019.00",0.76%
15/08/2012,"8,029.00","8,009.10","8,039.50","8,003.10",0.12%
14/08/2012,"8,019.50","8,042.50","8,054.80","8,002.00",0.01%
13/08/2012,"8,018.60","8,035.30","8,039.40","7,985.50",-0.33%
10/08/2012,"8,044.80","7,994.20","8,045.60","7,973.60",0.25%
09/08/2012,"8,025.00","8,008.00","8,046.40","8,003.00",0.08%
08/08/2012,"8,018.20","7,989.70","8,033.40","7,984.90",0.01%
07/08/2012,"8,017.70","7,997.70","8,049.60","7,997.70",0.67%
